NumberOfWords;Word;WordSaid;WhereErrorOccurred;TypeOfError;LocationOfError;ExpectedLetterError;SaidLetterError
212;gold;geld;Middle;Substitution;[1];['o'];['e']
213;gold;golds;End;Addition;[4];['_'];['s']
215;indigo;undigo;Beginning;Substitution;[0];['i'];['u']
216;indigo;indigos;End;Addition;[6];['_'];['s']
217;jade;xade;Beginning;Substitution;[0];['j'];['x']
218;jade;jede;Middle;Substitution;[1];['a'];['e']
219;jade;jades;End;Addition;[4];['_'];['s']
220;light;xight;Beginning;Substitution;[0];['l'];['x']
221;light;laght;Middle;Substitution;[1];['i'];['a']
222;light;lights;End;Addition;[5];['_'];['s']
223;lilac;oilac;Beginning;Substitution;[0];['l'];['o']
224;lilac;lalac;Middle;Substitution;[1];['i'];['a']
225;lilac;lilacs;End;Addition;[5];['_'];['s']
226;maroon;karoon;Beginning;Substitution;[0];['m'];['k']
227;maroon;muroon;Middle;Substitution;[1];['a'];['u']
228;maroon;maroons;End;Addition;[6];['_'];['s']
229;navy;xavy;Beginning;Substitution;[0];['n'];['x']
230;navy;nuvy;Middle;Substitution;[1];['a'];['u']
231;navy;navys;End;Addition;[4];['_'];['s']
232;ora%e;sra%e;Beginning;Substitution;[0];['o'];['s']
234;ora%e;ora%es;End;Addition;[5];['_'];['s']
235;olive;rlive;Beginning;Substitution;[0];['o'];['r']
236;olive;ulive;Beginning;Substitution;[0];['o'];['u']
237;olive;olives;End;Addition;[5];['_'];['s']
238;pi^;mi^;Beginning;Substitution;[0];['p'];['m']
239;pi^;po^;Middle;Substitution;[1];['i'];['o']
240;pi^;pi^s;End;Addition;[3];['_'];['s']
241;pur<e;cur<e;Beginning;Substitution;[0];['p'];['c']
242;pur<e;por<e;Middle;Substitution;[1];['u'];['o']
243;pur<e;pur<es;End;Addition;[5];['_'];['s']
244;paßel;haßel;Beginning;Substitution;[0];['p'];['h']
245;paßel;poßel;Middle;Substitution;[1];['a'];['o']
246;paßel;paßels;End;Addition;[5];['_'];['s']
247;Ùimary;Ùymary;Middle;Substitution;[1];['i'];['y']
248;Ùimary;Ùemary;Middle;Substitution;[1];['i'];['e']
249;Ùimary;Ùimarys;End;Addition;[6];['_'];['s']
250;rainbow;zainbow;Beginning;Substitution;[0];['r'];['z']
252;rainbow;rainbows;End;Addition;[7];['_'];['s']
253;red;ied;Beginning;Substitution;[0];['r'];['i']
254;red;rod;Middle;Substitution;[1];['e'];['o']
255;red;reds;End;Addition;[3];['_'];['s']
256;silver;tilver;Beginning;Substitution;[0];['s'];['t']
257;silver;sulver;Middle;Substitution;[1];['i'];['u']
258;silver;silvers;End;Addition;[6];['_'];['s']
259;@ade;@cde;Middle;Substitution;[1];['a'];['c']
260;@ade;@ide;Middle;Substitution;[1];['a'];['i']
261;@ade;@ades;End;Addition;[4];['_'];['s']
262;tan;san;Beginning;Substitution;[0];['t'];['s']
263;tan;tun;Middle;Substitution;[1];['a'];['u']
264;tan;tans;End;Addition;[3];['_'];['s']
265;teal;seal;Beginning;Substitution;[0];['t'];['s']
266;teal;tual;Middle;Substitution;[1];['e'];['u']
267;teal;teals;End;Addition;[4];['_'];['s']
268;violet;fiolet;Beginning;Substitution;[0];['v'];['f']
270;violet;violets;End;Addition;[6];['_'];['s']
271;aqua;wqua;Beginning;Substitution;[0];['a'];['w']
272;aqua;equa;Beginning;Substitution;[0];['a'];['e']
273;aqua;aquas;End;Addition;[4];['_'];['s']
275;[ack;[eck;Middle;Substitution;[1];['a'];['e']
276;[ack;[acks;End;Addition;[4];['_'];['s']
278;>own;>iwn;Middle;Substitution;[1];['o'];['i']
279;>own;>owns;End;Addition;[4];['_'];['s']
280;>onze;>jnze;Middle;Substitution;[1];['o'];['j']
281;>onze;>anze;Middle;Substitution;[1];['o'];['a']
282;>onze;>onzes;End;Addition;[5];['_'];['s']
283;[ue;[he;Middle;Substitution;[1];['u'];['h']
284;[ue;[ee;Middle;Substitution;[1];['u'];['e']
285;[ue;[ues;End;Addition;[3];['_'];['s']
286;color;solor;Beginning;Substitution;[0];['c'];['s']
287;color;calor;Middle;Substitution;[1];['o'];['a']
288;color;colors;End;Addition;[5];['_'];['s']
289;?eam;?fam;Middle;Substitution;[1];['e'];['f']
290;?eam;?iam;Middle;Substitution;[1];['e'];['i']
291;?eam;?eams;End;Addition;[4];['_'];['s']
292;dark;aark;Beginning;Substitution;[0];['d'];['a']
293;dark;derk;Middle;Substitution;[1];['a'];['e']
294;dark;darks;End;Addition;[4];['_'];['s']
295;Øeen;Øyen;Middle;Substitution;[1];['e'];['y']
296;Øeen;Øaen;Middle;Substitution;[1];['e'];['a']
297;Øeen;Øeens;End;Addition;[4];['_'];['s']
298;Øey;Øpy;Middle;Substitution;[1];['e'];['p']
299;Øey;Øoy;Middle;Substitution;[1];['e'];['o']
300;Øey;Øeys;End;Addition;[3];['_'];['s']
301;gold;lold;Beginning;Substitution;[0];['g'];['l']
302;gold;gild;Middle;Substitution;[1];['o'];['i']
303;gold;golds;End;Addition;[4];['_'];['s']
304;indigo;tndigo;Beginning;Substitution;[0];['i'];['t']
305;indigo;andigo;Beginning;Substitution;[0];['i'];['a']
306;indigo;indigos;End;Addition;[6];['_'];['s']
307;jade;eade;Beginning;Substitution;[0];['j'];['e']
308;jade;jode;Middle;Substitution;[1];['a'];['o']
309;jade;jades;End;Addition;[4];['_'];['s']
310;light;hight;Beginning;Substitution;[0];['l'];['h']
312;light;lights;End;Addition;[5];['_'];['s']
313;lilac;bilac;Beginning;Substitution;[0];['l'];['b']
315;lilac;lilacs;End;Addition;[5];['_'];['s']
316;maroon;faroon;Beginning;Substitution;[0];['m'];['f']
317;maroon;meroon;Middle;Substitution;[1];['a'];['e']
318;maroon;maroons;End;Addition;[6];['_'];['s']
319;navy;gavy;Beginning;Substitution;[0];['n'];['g']
320;navy;nivy;Middle;Substitution;[1];['a'];['i']
321;navy;navys;End;Addition;[4];['_'];['s']
322;ora%e;rra%e;Beginning;Substitution;[0];['o'];['r']
323;ora%e;ura%e;Beginning;Substitution;[0];['o'];['u']
324;ora%e;ora%es;End;Addition;[5];['_'];['s']
326;olive;ulive;Beginning;Substitution;[0];['o'];['u']
327;olive;olives;End;Addition;[5];['_'];['s']
328;pi^;ni^;Beginning;Substitution;[0];['p'];['n']
329;pi^;pa^;Middle;Substitution;[1];['i'];['a']
330;pi^;pi^s;End;Addition;[3];['_'];['s']
331;pur<e;sur<e;Beginning;Substitution;[0];['p'];['s']
332;pur<e;pir<e;Middle;Substitution;[1];['u'];['i']
333;pur<e;pur<es;End;Addition;[5];['_'];['s']
334;paßel;qaßel;Beginning;Substitution;[0];['p'];['q']
336;paßel;paßels;End;Addition;[5];['_'];['s']
337;Ùimary;Ùbmary;Middle;Substitution;[1];['i'];['b']
338;Ùimary;Ùemary;Middle;Substitution;[1];['i'];['e']
339;Ùimary;Ùimarys;End;Addition;[6];['_'];['s']
340;rainbow;fainbow;Beginning;Substitution;[0];['r'];['f']
341;rainbow;reinbow;Middle;Substitution;[1];['a'];['e']
342;rainbow;rainbows;End;Addition;[7];['_'];['s']
343;red;ted;Beginning;Substitution;[0];['r'];['t']
344;red;rad;Middle;Substitution;[1];['e'];['a']
345;red;reds;End;Addition;[3];['_'];['s']
346;silver;oilver;Beginning;Substitution;[0];['s'];['o']
347;silver;selver;Middle;Substitution;[1];['i'];['e']
348;silver;silvers;End;Addition;[6];['_'];['s']
349;@ade;@hde;Middle;Substitution;[1];['a'];['h']
350;@ade;@ede;Middle;Substitution;[1];['a'];['e']
351;@ade;@ades;End;Addition;[4];['_'];['s']
352;tan;ian;Beginning;Substitution;[0];['t'];['i']
354;tan;tans;End;Addition;[3];['_'];['s']
355;teal;ieal;Beginning;Substitution;[0];['t'];['i']
356;teal;tual;Middle;Substitution;[1];['e'];['u']
357;teal;teals;End;Addition;[4];['_'];['s']
358;violet;jiolet;Beginning;Substitution;[0];['v'];['j']
359;violet;vaolet;Middle;Substitution;[1];['i'];['a']
360;violet;violets;End;Addition;[6];['_'];['s']
361;a;s;Beginning;Substitution;[0];['a'];['s']
362;ability;mbility;Beginning;Substitution;[0];['a'];['m']
363;able;eble;Beginning;Substitution;[0];['a'];['e']
364;about;nbout;Beginning;Substitution;[0];['a'];['n']
365;above;tbove;Beginning;Substitution;[0];['a'];['t']
366;accept;cccept;Beginning;Substitution;[0];['a'];['c']
367;according;yccording;Beginning;Substitution;[0];['a'];['y']
368;account;wccount;Beginning;Substitution;[0];['a'];['w']
370;act;wct;Beginning;Substitution;[0];['a'];['w']
371;action;vction;Beginning;Substitution;[0];['a'];['v']
372;activity;gctivity;Beginning;Substitution;[0];['a'];['g']
373;actually;cctually;Beginning;Substitution;[0];['a'];['c']
374;add;qdd;Beginning;Substitution;[0];['a'];['q']
375;address;mddress;Beginning;Substitution;[0];['a'];['m']
376;administration;mdministration;Beginning;Substitution;[0];['a'];['m']
377;admit;wdmit;Beginning;Substitution;[0];['a'];['w']
378;adult;wdult;Beginning;Substitution;[0];['a'];['w']
379;affect;sffect;Beginning;Substitution;[0];['a'];['s']
380;after;wfter;Beginning;Substitution;[0];['a'];['w']
381;again;ggain;Beginning;Substitution;[0];['a'];['g']
382;against;egainst;Beginning;Substitution;[0];['a'];['e']
384;agency;xgency;Beginning;Substitution;[0];['a'];['x']
385;agent;hgent;Beginning;Substitution;[0];['a'];['h']
386;ago;ogo;Beginning;Substitution;[0];['a'];['o']
387;agree;hgree;Beginning;Substitution;[0];['a'];['h']
388;agreement;egreement;Beginning;Substitution;[0];['a'];['e']
395;along;xlong;Beginning;Substitution;[0];['a'];['x']
396;already;ilready;Beginning;Substitution;[0];['a'];['i']
397;also;rlso;Beginning;Substitution;[0];['a'];['r']
398;although;zlthough;Beginning;Substitution;[0];['a'];['z']
399;always;zlways;Beginning;Substitution;[0];['a'];['z']
400;American;Alerican;Middle;Substitution;[1];['m'];['l']
401;among;xmong;Beginning;Substitution;[0];['a'];['x']
402;amount;smount;Beginning;Substitution;[0];['a'];['s']
403;analysis;bnalysis;Beginning;Substitution;[0];['a'];['b']
404;and;nnd;Beginning;Substitution;[0];['a'];['n']
405;animal;qnimal;Beginning;Substitution;[0];['a'];['q']
406;another;unother;Beginning;Substitution;[0];['a'];['u']
407;answer;bnswer;Beginning;Substitution;[0];['a'];['b']
408;any;zny;Beginning;Substitution;[0];['a'];['z']
409;anyone;qnyone;Beginning;Substitution;[0];['a'];['q']
410;anything;fnything;Beginning;Substitution;[0];['a'];['f']
411;appear;hppear;Beginning;Substitution;[0];['a'];['h']
412;apply;dpply;Beginning;Substitution;[0];['a'];['d']
413;approach;cpproach;Beginning;Substitution;[0];['a'];['c']
414;area;lrea;Beginning;Substitution;[0];['a'];['l']
415;argue;lrgue;Beginning;Substitution;[0];['a'];['l']
417;around;oround;Beginning;Substitution;[0];['a'];['o']
418;arrive;urrive;Beginning;Substitution;[0];['a'];['u']
419;art;rrt;Beginning;Substitution;[0];['a'];['r']
420;article;jrticle;Beginning;Substitution;[0];['a'];['j']
421;artist;mrtist;Beginning;Substitution;[0];['a'];['m']
422;as;us;Beginning;Substitution;[0];['a'];['u']
423;ask;wsk;Beginning;Substitution;[0];['a'];['w']
424;assume;kssume;Beginning;Substitution;[0];['a'];['k']
425;at;et;Beginning;Substitution;[0];['a'];['e']
426;attack;httack;Beginning;Substitution;[0];['a'];['h']
427;attention;jttention;Beginning;Substitution;[0];['a'];['j']
428;attorney;wttorney;Beginning;Substitution;[0];['a'];['w']
429;audience;nudience;Beginning;Substitution;[0];['a'];['n']
430;author;muthor;Beginning;Substitution;[0];['a'];['m']
431;authority;yuthority;Beginning;Substitution;[0];['a'];['y']
432;available;jvailable;Beginning;Substitution;[0];['a'];['j']
433;avoid;mvoid;Beginning;Substitution;[0];['a'];['m']
434;away;tway;Beginning;Substitution;[0];['a'];['t']
435;baby;jaby;Beginning;Substitution;[0];['b'];['j']
436;back;yack;Beginning;Substitution;[0];['b'];['y']
437;bad;dad;Beginning;Substitution;[0];['b'];['d']
438;bag;yag;Beginning;Substitution;[0];['b'];['y']
439;ball;aall;Beginning;Substitution;[0];['b'];['a']
440;bank;eank;Beginning;Substitution;[0];['b'];['e']
441;bar;gar;Beginning;Substitution;[0];['b'];['g']
442;base;yase;Beginning;Substitution;[0];['b'];['y']
443;be;ie;Beginning;Substitution;[0];['b'];['i']
444;beat;eeat;Beginning;Substitution;[0];['b'];['e']
446;because;decause;Beginning;Substitution;[0];['b'];['d']
447;become;kecome;Beginning;Substitution;[0];['b'];['k']
448;bed;ked;Beginning;Substitution;[0];['b'];['k']
449;before;aefore;Beginning;Substitution;[0];['b'];['a']
450;begin;segin;Beginning;Substitution;[0];['b'];['s']
451;behavior;pehavior;Beginning;Substitution;[0];['b'];['p']
452;behind;uehind;Beginning;Substitution;[0];['b'];['u']
453;believe;zelieve;Beginning;Substitution;[0];['b'];['z']
454;benefit;venefit;Beginning;Substitution;[0];['b'];['v']
456;better;aetter;Beginning;Substitution;[0];['b'];['a']
457;between;aetween;Beginning;Substitution;[0];['b'];['a']
458;beyond;ieyond;Beginning;Substitution;[0];['b'];['i']
459;big;mig;Beginning;Substitution;[0];['b'];['m']
460;bill;hill;Beginning;Substitution;[0];['b'];['h']
461;billion;eillion;Beginning;Substitution;[0];['b'];['e']
462;bit;xit;Beginning;Substitution;[0];['b'];['x']
463;black;flack;Beginning;Substitution;[0];['['];['|']
464;blood;plood;Beginning;Substitution;[0];['['];['<']
466;board;eoard;Beginning;Substitution;[0];['b'];['e']
467;body;yody;Beginning;Substitution;[0];['b'];['y']
468;book;wook;Beginning;Substitution;[0];['b'];['w']
469;born;horn;Beginning;Substitution;[0];['b'];['h']
470;both;soth;Beginning;Substitution;[0];['b'];['s']
471;box;eox;Beginning;Substitution;[0];['b'];['e']
472;boy;doy;Beginning;Substitution;[0];['b'];['d']
473;break;greak;Beginning;Substitution;[0];['>'];['Ø']
475;brother;grother;Beginning;Substitution;[0];['>'];['Ø']
476;budget;yudget;Beginning;Substitution;[0];['b'];['y']
477;build;duild;Beginning;Substitution;[0];['b'];['d']
478;building;fuilding;Beginning;Substitution;[0];['b'];['f']
479;business;dusiness;Beginning;Substitution;[0];['b'];['d']
480;but;xut;Beginning;Substitution;[0];['b'];['x']
481;buy;auy;Beginning;Substitution;[0];['b'];['a']
482;by;vy;Beginning;Substitution;[0];['b'];['v']
483;call;dall;Beginning;Substitution;[0];['c'];['d']
484;camera;xamera;Beginning;Substitution;[0];['c'];['x']
485;campaign;bampaign;Beginning;Substitution;[0];['c'];['b']
486;can;tan;Beginning;Substitution;[0];['c'];['t']
487;cancer;vancer;Beginning;Substitution;[0];['c'];['v']
488;candidate;bandidate;Beginning;Substitution;[0];['c'];['b']
489;capital;sapital;Beginning;Substitution;[0];['c'];['s']
490;car;jar;Beginning;Substitution;[0];['c'];['j']
491;card;zard;Beginning;Substitution;[0];['c'];['z']
492;care;tare;Beginning;Substitution;[0];['c'];['t']
493;career;rareer;Beginning;Substitution;[0];['c'];['r']
494;carry;larry;Beginning;Substitution;[0];['c'];['l']
495;case;uase;Beginning;Substitution;[0];['c'];['u']
496;catch;fatch;Beginning;Substitution;[0];['c'];['f']
497;cause;tause;Beginning;Substitution;[0];['c'];['t']
498;cell;tell;Beginning;Substitution;[0];['c'];['t']
500;central;aentral;Beginning;Substitution;[0];['c'];['a']
502;certain;eertain;Beginning;Substitution;[0];['c'];['e']
503;certainly;hertainly;Beginning;Substitution;[0];['c'];['h']
515;citizen;jitizen;Beginning;Substitution;[0];['c'];['j']
516;city;fity;Beginning;Substitution;[0];['c'];['f']
517;civil;jivil;Beginning;Substitution;[0];['c'];['j']
524;cold;lold;Beginning;Substitution;[0];['c'];['l']
525;collection;xollection;Beginning;Substitution;[0];['c'];['x']
526;college;kollege;Beginning;Substitution;[0];['c'];['k']
528;come;bome;Beginning;Substitution;[0];['c'];['b']
529;commercial;wommercial;Beginning;Substitution;[0];['c'];['w']
530;common;dommon;Beginning;Substitution;[0];['c'];['d']
531;community;vommunity;Beginning;Substitution;[0];['c'];['v']
533;compare;tompare;Beginning;Substitution;[0];['c'];['t']
534;computer;fomputer;Beginning;Substitution;[0];['c'];['f']
535;concern;noncern;Beginning;Substitution;[0];['c'];['n']
